,day,city,precipitation
179,2018-06-29,SEA,0.0
180,2018-06-30,SEA,0.0
181,2018-07-01,SEA,0.02
182,2018-07-02,SEA,0.01
183,2018-07-03,SEA,0.0
184,2018-07-04,SEA,0.0
185,2018-07-05,SEA,0.0
186,2018-07-06,SEA,0.0
187,2018-07-07,SEA,0.0
188,2018-07-08,SEA,0.0
189,2018-07-09,SEA,0.0
190,2018-07-10,SEA,0.0
191,2018-07-11,SEA,0.0
192,2018-07-12,SEA,0.0
193,2018-07-13,SEA,0.0
194,2018-07-14,SEA,0.0
195,2018-07-15,SEA,0.0
196,2018-07-16,SEA,0.0
197,2018-07-17,SEA,0.0
198,2018-07-18,SEA,0.0
199,2018-07-19,SEA,0.0
200,2018-07-20,SEA,0.0
201,2018-07-21,SEA,0.0
202,2018-07-22,SEA,0.0
203,2018-07-23,SEA,0.0
204,2018-07-24,SEA,0.0
205,2018-07-25,SEA,0.0
206,2018-07-26,SEA,0.0
207,2018-07-27,SEA,0.0
208,2018-07-28,SEA,0.0
209,2018-07-29,SEA,0.0
210,2018-07-30,SEA,0.0
211,2018-07-31,SEA,0.0
212,2018-08-01,SEA,0.0
213,2018-08-02,SEA,0.0
214,2018-08-03,SEA,0.04
215,2018-08-04,SEA,0.01
216,2018-08-05,SEA,0.0
217,2018-08-06,SEA,0.0
218,2018-08-07,SEA,0.0
219,2018-08-08,SEA,0.0
220,2018-08-09,SEA,0.0
221,2018-08-10,SEA,0.0
222,2018-08-11,SEA,0.0
223,2018-08-12,SEA,0.01
224,2018-08-13,SEA,0.0
225,2018-08-14,SEA,0.0
226,2018-08-15,SEA,0.0
227,2018-08-16,SEA,0.0
228,2018-08-17,SEA,0.0
229,2018-08-18,SEA,0.0
230,2018-08-19,SEA,0.0
231,2018-08-20,SEA,0.0
232,2018-08-21,SEA,0.0
233,2018-08-22,SEA,0.0
234,2018-08-23,SEA,0.0
235,2018-08-24,SEA,0.0
236,2018-08-25,SEA,0.0
237,2018-08-26,SEA,0.01
238,2018-08-27,SEA,0.27
239,2018-08-28,SEA,0.0
240,2018-08-29,SEA,0.0
241,2018-08-30,SEA,0.0
242,2018-08-31,SEA,0.25
243,2018-09-01,SEA,0.0
244,2018-09-02,SEA,0.0
245,2018-09-03,SEA,0.0
246,2018-09-04,SEA,0.0
247,2018-09-05,SEA,0.0
248,2018-09-06,SEA,0.0
249,2018-09-07,SEA,0.0
250,2018-09-08,SEA,0.14
251,2018-09-09,SEA,0.0
252,2018-09-10,SEA,0.17
253,2018-09-11,SEA,0.01
254,2018-09-12,SEA,0.0
255,2018-09-13,SEA,0.0
256,2018-09-14,SEA,0.1
257,2018-09-15,SEA,0.08
258,2018-09-16,SEA,0.28
259,2018-09-17,SEA,0.05
260,2018-09-18,SEA,0.0
261,2018-09-19,SEA,0.0
262,2018-09-20,SEA,0.03
263,2018-09-21,SEA,0.0
264,2018-09-22,SEA,0.006666666666666667
265,2018-09-23,SEA,0.01
266,2018-09-24,SEA,0.0
267,2018-09-25,SEA,0.0
268,2018-09-26,SEA,0.0
269,2018-09-27,SEA,0.0
270,2018-09-28,SEA,0.0
271,2018-09-29,SEA,0.0
272,2018-09-30,SEA,0.1
273,2018-10-01,SEA,0.01
274,2018-10-02,SEA,0.27
275,2018-10-03,SEA,0.07
276,2018-10-04,SEA,0.0
277,2018-10-05,SEA,0.0
278,2018-10-06,SEA,0.31
279,2018-10-07,SEA,0.0
280,2018-10-08,SEA,0.13
281,2018-10-09,SEA,0.38
282,2018-10-10,SEA,0.02
283,2018-10-11,SEA,0.0
284,2018-10-12,SEA,0.0
285,2018-10-13,SEA,0.0
286,2018-10-14,SEA,0.0
287,2018-10-15,SEA,0.0
288,2018-10-16,SEA,0.0
289,2018-10-17,SEA,0.0
290,2018-10-18,SEA,0.0
291,2018-10-19,SEA,0.0
292,2018-10-20,SEA,0.0
293,2018-10-21,SEA,0.0
294,2018-10-22,SEA,0.01
295,2018-10-23,SEA,0.01
296,2018-10-24,SEA,0.04
297,2018-10-25,SEA,0.0
298,2018-10-26,SEA,0.82
299,2018-10-27,SEA,0.02
300,2018-10-28,SEA,1.25
301,2018-10-29,SEA,0.14
302,2018-10-30,SEA,0.01
303,2018-10-31,SEA,0.1
304,2018-11-01,SEA,0.03
305,2018-11-02,SEA,0.1
306,2018-11-03,SEA,0.10250000000000001
307,2018-11-04,SEA,0.26749999999999996
308,2018-11-05,SEA,0.34249999999999997
309,2018-11-06,SEA,0.28500000000000003
310,2018-11-07,SEA,0.25
311,2018-11-08,SEA,0.1275
312,2018-11-09,SEA,0.11
313,2018-11-10,SEA,0.1475
314,2018-11-11,SEA,0.0625
315,2018-11-12,SEA,0.0
316,2018-11-13,SEA,0.0
317,2018-11-14,SEA,0.12
318,2018-11-15,SEA,0.08
319,2018-11-16,SEA,0.04
320,2018-11-17,SEA,0.0
321,2018-11-18,SEA,0.0
322,2018-11-19,SEA,0.0
323,2018-11-20,SEA,0.0
324,2018-11-21,SEA,0.0
325,2018-11-22,SEA,0.29
326,2018-11-23,SEA,0.78
327,2018-11-24,SEA,0.08
328,2018-11-25,SEA,0.0
329,2018-11-26,SEA,0.32
330,2018-11-27,SEA,1.56
331,2018-11-28,SEA,0.45
332,2018-11-29,SEA,0.15
333,2018-11-30,SEA,0.01
334,2018-12-01,SEA,0.18
335,2018-12-02,SEA,0.29
336,2018-12-03,SEA,0.02
337,2018-12-04,SEA,0.0
338,2018-12-05,SEA,0.0
339,2018-12-06,SEA,0.0
340,2018-12-07,SEA,0.0
341,2018-12-08,SEA,0.01
342,2018-12-09,SEA,0.0
343,2018-12-10,SEA,0.56
344,2018-12-11,SEA,0.14
345,2018-12-12,SEA,0.37
346,2018-12-13,SEA,0.15
347,2018-12-14,SEA,0.18
348,2018-12-15,SEA,0.05
349,2018-12-16,SEA,0.38
350,2018-12-17,SEA,0.3
351,2018-12-18,SEA,0.83
352,2018-12-19,SEA,0.27
353,2018-12-20,SEA,0.18
354,2018-12-21,SEA,0.16
355,2018-12-22,SEA,0.01
356,2018-12-23,SEA,0.83
357,2018-12-24,SEA,0.05
358,2018-12-25,SEA,0.02
359,2018-12-26,SEA,0.03
360,2018-12-27,SEA,0.12
361,2018-12-28,SEA,0.07
362,2018-12-29,SEA,0.32
363,2018-12-30,SEA,0.44
364,2018-12-31,SEA,0.01
365,2019-01-01,SEA,0.0
366,2019-01-02,SEA,0.0
367,2019-01-03,SEA,0.42
368,2019-01-04,SEA,0.55
369,2019-01-05,SEA,0.24666666666666667
370,2019-01-06,SEA,0.8133333333333334
371,2019-01-07,SEA,0.6074999999999999
372,2019-01-08,SEA,0.02
373,2019-01-09,SEA,0.35
374,2019-01-10,SEA,0.32
375,2019-01-11,SEA,0.03
376,2019-01-12,SEA,0.0
377,2019-01-13,SEA,0.0
378,2019-01-14,SEA,0.0
379,2019-01-15,SEA,0.0
380,2019-01-16,SEA,0.0
381,2019-01-17,SEA,0.12
382,2019-01-18,SEA,0.15
383,2019-01-19,SEA,0.28
384,2019-01-20,SEA,0.04
385,2019-01-21,SEA,0.0
386,2019-01-22,SEA,0.01
387,2019-01-23,SEA,0.7
388,2019-01-24,SEA,0.29333333333333333
389,2019-01-25,SEA,0.18666666666666668
390,2019-01-26,SEA,0.02
391,2019-01-27,SEA,0.0
392,2019-01-28,SEA,0.0
393,2019-01-29,SEA,0.0
394,2019-01-30,SEA,0.0
395,2019-01-31,SEA,0.0
396,2019-02-01,SEA,0.16
397,2019-02-02,SEA,0.35
398,2019-02-03,SEA,0.04
399,2019-02-04,SEA,0.35
400,2019-02-05,SEA,0.02
401,2019-02-06,SEA,0.0
402,2019-02-07,SEA,0.0
403,2019-02-08,SEA,0.0
404,2019-02-09,SEA,1.12
405,2019-02-10,SEA,0.0
406,2019-02-11,SEA,0.7
407,2019-02-12,SEA,1.02
408,2019-02-13,SEA,0.15
409,2019-02-14,SEA,0.0
410,2019-02-15,SEA,0.19
411,2019-02-16,SEA,0.02
412,2019-02-17,SEA,0.39
413,2019-02-18,SEA,0.02
414,2019-02-19,SEA,0.07
415,2019-02-20,SEA,0.27
416,2019-02-21,SEA,0.03
417,2019-02-22,SEA,0.0
418,2019-02-23,SEA,0.0
419,2019-02-24,SEA,0.095
420,2019-02-25,SEA,0.07
421,2019-02-26,SEA,0.005
422,2019-02-27,SEA,0.25333333333333335
423,2019-02-28,SEA,0.6366666666666666
424,2019-03-01,SEA,0.0
425,2019-03-02,SEA,0.0
426,2019-03-03,SEA,0.0
427,2019-03-04,SEA,0.0
428,2019-03-05,SEA,0.0
429,2019-03-06,SEA,0.0
430,2019-03-07,SEA,0.27
431,2019-03-08,SEA,0.03
432,2019-03-09,SEA,0.08
433,2019-03-10,SEA,0.0
434,2019-03-11,SEA,0.0
435,2019-03-12,SEA,0.76
436,2019-03-13,SEA,0.19
437,2019-03-14,SEA,0.0
438,2019-03-15,SEA,0.0
439,2019-03-16,SEA,0.0
440,2019-03-17,SEA,0.0
441,2019-03-18,SEA,0.0
442,2019-03-19,SEA,0.0
443,2019-03-20,SEA,0.0
444,2019-03-21,SEA,0.0
445,2019-03-22,SEA,0.0
446,2019-03-23,SEA,0.01
447,2019-03-24,SEA,0.0
448,2019-03-25,SEA,0.0
449,2019-03-26,SEA,0.21
450,2019-03-27,SEA,0.0
451,2019-03-28,SEA,0.0
452,2019-03-29,SEA,0.0
453,2019-03-30,SEA,0.0
454,2019-03-31,SEA,0.0
455,2019-04-01,SEA,0.0
456,2019-04-02,SEA,0.0
457,2019-04-03,SEA,0.02
458,2019-04-04,SEA,0.01
459,2019-04-05,SEA,0.21
460,2019-04-06,SEA,0.055
461,2019-04-07,SEA,0.1075
462,2019-04-08,SEA,0.18250000000000002
463,2019-04-09,SEA,0.22
464,2019-04-10,SEA,0.02
465,2019-04-11,SEA,0.32
466,2019-04-12,SEA,0.44
467,2019-04-13,SEA,0.04
468,2019-04-14,SEA,0.05
469,2019-04-15,SEA,0.02
470,2019-04-16,SEA,0.0
471,2019-04-17,SEA,0.17
472,2019-04-18,SEA,0.1
473,2019-04-19,SEA,0.07
474,2019-04-20,SEA,0.03
475,2019-04-21,SEA,0.17
476,2019-04-22,SEA,0.04
477,2019-04-23,SEA,0.07
478,2019-04-24,SEA,0.02
479,2019-04-25,SEA,0.0
480,2019-04-26,SEA,0.0
481,2019-04-27,SEA,0.0
482,2019-04-28,SEA,0.02
483,2019-04-29,SEA,0.0
484,2019-04-30,SEA,0.0
485,2019-05-01,SEA,0.0
486,2019-05-02,SEA,0.0
487,2019-05-03,SEA,0.0
488,2019-05-04,SEA,0.0
489,2019-05-05,SEA,0.0
490,2019-05-06,SEA,0.0
491,2019-05-07,SEA,0.0
492,2019-05-08,SEA,0.0
493,2019-05-09,SEA,0.0
494,2019-05-10,SEA,0.0
495,2019-05-11,SEA,0.0
496,2019-05-12,SEA,0.0
497,2019-05-13,SEA,0.0
498,2019-05-14,SEA,0.01
499,2019-05-15,SEA,0.14
500,2019-05-16,SEA,0.06
501,2019-05-17,SEA,0.6
502,2019-05-18,SEA,0.01
503,2019-05-19,SEA,0.01
504,2019-05-20,SEA,0.04
505,2019-05-21,SEA,0.15
506,2019-05-22,SEA,0.01
507,2019-05-23,SEA,0.0
508,2019-05-24,SEA,0.0
509,2019-05-25,SEA,0.0
510,2019-05-26,SEA,0.44
511,2019-05-27,SEA,0.01
512,2019-05-28,SEA,0.0
513,2019-05-29,SEA,0.0
514,2019-05-30,SEA,0.0
515,2019-05-31,SEA,0.0
516,2019-06-01,SEA,0.0
517,2019-06-02,SEA,0.0
518,2019-06-03,SEA,0.0
519,2019-06-04,SEA,0.0
520,2019-06-05,SEA,0.0
521,2019-06-06,SEA,0.0
522,2019-06-07,SEA,0.02
523,2019-06-08,SEA,0.1
524,2019-06-09,SEA,0.0
525,2019-06-10,SEA,0.0
526,2019-06-11,SEA,0.0
527,2019-06-12,SEA,0.0
528,2019-06-13,SEA,0.0
529,2019-06-14,SEA,0.0
530,2019-06-15,SEA,0.0
531,2019-06-16,SEA,0.0
532,2019-06-17,SEA,0.0
533,2019-06-18,SEA,0.12
534,2019-06-19,SEA,0.03
535,2019-06-20,SEA,0.31
536,2019-06-21,SEA,0.0025
537,2019-06-22,SEA,0.0225
538,2019-06-23,SEA,0.08
539,2019-06-24,SEA,0.02
540,2019-06-25,SEA,0.02
541,2019-06-26,SEA,0.0
542,2019-06-27,SEA,0.0
543,2019-06-28,SEA,0.0025
544,2019-06-29,SEA,0.135
545,2019-06-30,SEA,0.0025
546,2019-07-01,SEA,0.015000000000000001
547,2019-07-02,SEA,0.02
548,2019-07-03,SEA,0.0125
549,2019-07-04,SEA,0.0325
550,2019-07-05,SEA,0.0125
551,2019-07-06,SEA,0.015
552,2019-07-07,SEA,0.01
553,2019-07-08,SEA,0.15
554,2019-07-09,SEA,0.01
555,2019-07-10,SEA,0.22
556,2019-07-11,SEA,0.13
557,2019-07-12,SEA,0.01
558,2019-07-13,SEA,0.0
559,2019-07-14,SEA,0.0
560,2019-07-15,SEA,0.0
561,2019-07-16,SEA,0.07
562,2019-07-17,SEA,0.02
563,2019-07-18,SEA,0.13
564,2019-07-19,SEA,0.62
565,2019-07-20,SEA,0.02
566,2019-07-21,SEA,0.0
567,2019-07-22,SEA,0.0
568,2019-07-23,SEA,0.0
569,2019-07-24,SEA,0.0
570,2019-07-25,SEA,0.0
